Date,Close,High,Low,Open,Volume
2/14/2022,1093.039551,1106.889865,1077.372802,1088.952573,6260400
2/15/2022,1099.397217,1106.208848,1088.725662,1103.257141,5490000
2/16/2022,1094.401855,1106.889843,1078.280998,1105.981626,5952400
2/17/2022,1084.411499,1105.073443,1075.102271,1103.484063,4914000
2/18/2022,1086.908936,1089.179479,1065.111723,1070.333972,4130800
2/21/2022,1104.392456,1107.117108,1069.653137,1075.329497,3188400
2/22/2022,1078.053955,1091.450161,1064.884804,1088.498454,3698000
2/24/2022,1043.768921,1076.010641,1031.507985,1071.242499,8542400
2/25/2022,1050.807373,1059.662491,1037.865277,1055.575514,5665200
2/28/2022,1038.31958,1061.479125,1034.459656,1056.710983,5854800
3/1/2022,1046.720337,1060.570649,1045.81212,1051.261423,3882800
3/2/2022,1016.068115,1036.048896,1011.981137,1032.643081,4543600
3/3/2022,1002.671997,1030.599682,1001.536725,1028.329138,5050400
3/4/2022,953.4012451,992.2275402,951.8118646,991.7734315,6938800
3/7/2022,870.7533569,900.0433656,851.9078475,889.8259207,13837600
3/8/2022,818.303772,862.3523102,806.0428387,852.1348658,17754000
3/9/2022,803.0911865,817.1685554,798.3230455,812.17336,18596800
3/10/2022,874.1591797,879.6084837,835.3328888,840.1010298,15242000
3/11/2022,847.3667603,857.1300965,834.8787721,853.9513358,8752800
3/14/2022,859.6276245,871.2073944,849.4101805,849.4101805,5191600
3/15/2022,880.2896729,890.2800638,849.6373371,856.6760216,6432000
3/16/2022,893.685791,904.3573439,886.6471072,889.8258676,10448000
3/17/2022,932.9663086,936.5991781,907.3091675,925.4735152,7236400
3/18/2022,922.2946777,924.3381667,906.4008748,908.2173094,8439200
3/22/2022,940.6860352,955.6716201,930.6956452,930.9226995,8575200
3/23/2022,962.7103271,973.6089346,954.9904802,959.758621,7198800
3/24/2022,952.7199097,955.4445615,936.3719989,946.8164975,6624400
3/25/2022,953.6280518,970.8841784,947.9516943,966.3430924,4560800
3/28/2022,955.2176514,962.7104449,938.1885751,950.9036187,3737200
3/29/2022,960.6668091,969.5219274,956.1257228,963.8455695,5813600
3/30/2022,974.8988647,992.574215,967.0941646,990.049165,6482800
3/31/2022,967.0942993,983.3923518,965.257899,978.5718011,5888000
4/1/2022,954.4690552,962.2737564,945.0575036,953.321305,4580000
4/4/2022,961.3554077,967.0941578,941.6141076,941.6141076,2973200
4/5/2022,970.5375977,976.7354489,961.8146959,973.9808484,5033600
4/6/2022,943.4506226,951.9439737,938.6300719,949.1893733,6206000
4/7/2022,917.7410278,922.7911285,906.0339762,919.8069781,6514400
4/8/2022,891.5723267,918.6592305,884.2267256,916.1341801,10472000
4/11/2022,891.5723267,897.5406275,882.3903254,891.1132266,5474000
4/12/2022,874.3560791,888.1290811,872.0605788,886.5222309,5750800
4/13/2022,884.4562988,885.8335991,866.3218458,872.0605967,8194400
4/14/2022,890.1950684,890.6541684,872.519715,883.079017,4389200
4/15/2022,892.4905396,897.3110903,882.849438,885.6040385,3206400
4/18/2022,894.7860107,900.2952114,875.5038084,891.3427603,4265200
4/19/2022,915.6751099,919.8070106,906.7226583,917.9706103,5991600
4/20/2022,947.1234131,959.0600145,934.9572616,938.8596121,7228800
4/21/2022,951.0256958,959.0599462,931.9730449,931.9730449,4987600
4/22/2022,934.49823,938.4005807,923.2502778,934.9573301,3778000
4/25/2022,919.3479004,926.2344015,899.8361472,907.6408485,4196000
4/26/2022,920.036438,928.7593383,912.2317377,914.5272378,4637600
4/27/2022,901.2133789,910.3953797,893.1791282,895.2450784,11538400
4/28/2022,897.0814819,898.4587821,838.3166766,844.2849771,17639200
5/2/2022,918.2001343,933.5799865,905.8044325,910.3954331,10064400
5/6/2022,917.9705811,926.9230323,898.9179283,899.8361285,9410800
5/9/2022,905.8043823,924.627484,899.8360818,917.2818834,4322800
5/10/2022,900.9838257,907.1816762,888.5881246,898.9178755,3578400
5/11/2022,881.472168,895.9338207,875.2743168,890.8837198,5215600
5/12/2022,839.9235229,862.6489749,829.134672,859.8943747,10007600
5/13/2022,865.8627319,875.2742834,837.8576277,842.2190783,6703200
5/16/2022,854.6147461,884.9153495,846.3509452,884.9153495,5264000
5/17/2022,851.6306763,854.6148269,840.841824,850.482926,4969600
5/18/2022,862.1899414,865.862742,847.728289,854.8443402,5373600
5/19/2022,839.6940918,840.1531919,824.7733384,830.0529896,5918000
5/20/2022,852.0896606,853.2374107,837.3984596,843.13721,4743200
5/23/2022,866.5513916,870.9128423,851.4010891,868.1582419,6343200
5/24/2022,850.9419556,873.8969584,849.3351054,872.2901082,5205600
5/25/2022,850.4827881,856.9101884,835.3324874,846.3508879,5554000
